numero,descripcion,voltaje,campos,equipo,img
51540,MITSUBISHI PICK-UP,12 volts,4 Campos,NIPPONDENSO,campo-268
51550,MITSUBISHI - MAZDA- DATSUN - PRINCIPAL Y AUXILIARES,12 volts,4 Campos,NIPPONDENSO,campo-269
51560,MITSUBISHI CANTER CAMION-RENAULT MASTER,12 volts,4 Campos,NIPPONDENSO,campo-270
51565,RENAULT MITSUBISHI CAMION,24volts,4 Campos,NIPPONDENSO,default-card
51570,MITSUBISHI CANTER CAMION,24 Volts,4 Campos,NIPPONDENSO,campo-271
51575,VOLVO CAMION MODELO NUEVO,24 Volts,4 Campos,NIPPONDENSO,default-card
51580,AUTOELEVADOR MITSUBISHI,12 volts,4 Campos,NIPPONDENSO,campo-272
51581,MITSUBISHI,24 Volts,4 Campos,NIPPONDENSO,default-card
51590,AUTOELEVADOR MITSUBISHI,24 Volts,4 Campos,NIPPONDENSO,campo-273
51600,NISSAN,12/24 volts,4 Campos,NIPPONDENSO,campo-274
51610,NISSAN CON ESCOBILLAS,12 volts,4 Campos,NIPPONDENSO,campo-275
51620,NISSAN - MAZDA CON REDUCTOR,24 Volts,4 Campos,NIPPONDENSO,campo-276
51630,NISSAN LARGO,12 volts,4 Campos,NIPPONDENSO,campo-277
51640,NISSAN,24 Volts,4 Campos,NIPPONDENSO,campo-278
51645,OTAWA CON 2 AUXILIARES,12 volts,4 Campos,NIPPONDENSO,default-card
51650,NISSAN,12 volts,4 Campos,NIPPONDENSO,campo-279
51660,NISSAN VANETTE,12 volts,4 Campos,NIPPONDENSO,campo-280
51661,NISSAN,12 Volts,4 Campos,NIPPONDENSO,default-card
51680,TOYOTA CELICA CORTO,12 volts,4 Campos,NIPPONDENSO,campo-281
51690,TOYOTA 2000 PICK-UP 28100-34070,12 volts,4 Campos,NIPPONDENSO,campo-282
51700,TOYOTA 2200 DIESEL (28100-54061 R),12volts,4 Campos,NIPPONDENSO,campo-283
51702,TOYOTA 2000 PICK-UP 28100-34070,24 Volts,4 Camos,NIPONDENSO,default-card
51710,TOYOTA CELICA O COROLA,12 volts,4 Campos,NIPPONDENSO,default-card
51720,TOYOTA CON REDUCCIÓN (SALIDA  AL COSTADO),24 Volts,4 Campos,NIPPONDENSO,campo-285
51730,TOYOTA CON REDUCCIÓN (SALIDA  AL CENTRO),12 Volts,4 Campos,NIPPONDENSO,campo-286
51735,TOYOTA CERRADO-ISUZU MAZDA,12 volts,4 Campos,NIPPONDENSO,default-card
51740,TOYOTA,12 volts,4 Campos,NIPPONDENSO,campo-287
51741,LANCHA MOTOR MITSUBISHI,12 Volts,4 Campos,NIPPONDENSO,default-card
51742,TOYOTA GILUN,12 volts,4 Campos,NIPPONDENSO,default-card
51743,JUEYIN,24 Volts,4 Campos,NIPPONDENSO,default-card
51750,"TOYOTA CON REDUCCIÓN ABIERTO, (SALIDA AL MEDIO)",24 Volts,4 Campos,NIPPONDENSO,default-card
51751,TOYOTA CON REDUCCIÓN ABIERTO (SALIDA AL MEDIO),12 Volts,4 Campos,NIPPONDENSO,default-card
51755,TOYOTA (2 PRINCIPALES Y 2 AUXILIARES),24 Volts,4 Campos,NIPPONDENSO,default-card
51770,CITROEN VISADSE 154 S,12 Volts,4 Campos,PARIS RHONE,campo-288
51780,CITTROEN SUPER DSE 107,12 Volts,4 Campos,PARIS RHONE,campo-289
51790,CITROEN VISA 4 - RENAUL 5,12 Volts,4 Campos,PARIS RHONE,campo-290
51800,CITROEN CX PALLAS,12 Volts,4 Campos,PARIS RHONE,campo-291
51810,PANHARI N D10-E69,24 Volts,4 Campos,PARIS RHONE,default-card
51820,PEUGEOT 504 NAFTERO E.124,12 Volts,4 Campos,PARIS RHONE,campo-293
51830,PEUGEOT D9 E 36,12 Volts,4 Campos,PARIS RHONE,campo-294
51840,PEUGEOT D9E 156 9 (REFORZADO),12 Volts,4 Campos,PARIS RHONE,campo-295
51845,ARRANQUE RENAUL MEDALLON,12 Volts,4 Campos,PARIS RHONE,default-card
51850,PEUGEOT GASOLERO (REFORZADO),12 Volts,4 Campos,PARIS RHONE,campo-296
51860,RENAUL 18 Y FUEGO - DACIA CON ESCOBILLAS Y SALIDA COMPLATA,12 Volts,4 Campos,PARIS RHONE,campo-297
51870,RENAULT 18 Y FUEGO - DACIA - Con escobillas y salida completa. REFORZADO para GNC,12 volts,4 Campos,PARIS RHONE,campo-298
51880,ARGELITE (2 CAMPOS PRINCIPALES y 1 AUXILIAR),12 volts,3 Campos,PRESTOLITE,campo-299
51890,ARGELITE (3 CAMPOS DE PLANCHUELA Y 1 AUXILIAR),12 Volts,4 Campos,PARIS RHONE,campo-300
51891,ARGELITE.3 campos planchuela y 1 auxiliar,24 Volts,4 Campos,PRESTOLITE,default-card
51900,BORWARD TURBO 2.5,12 Volts,4 Campos,RHOER,campo-301
51910,BORWARD TURBO 2.6,24 Volts,4 Campos,RHOER,campo-302
51920,SHANGAY TRACTOR,12 Volts,4 Campos,SHANGAY,default-card
51930,GRUA CATO (REFORZADO),12 Volts,4 Campos,SAWAFUJI,default-card
51940,AUTO UNIÓN D. - PEUGEOT 403,6 Volts,4 Campos,TAMATEL,campo-305
51950,CITTROEN 2CV DBL 20,6 Volts,4 Campos,TAMATEL,campo-306
51960,CITROEN 3CV,12 Volts,4 Campos,TAMATEL,campo-307
51970,SIMCA,12 volts,4 Campos,TAMATEL,default-card
51971,ARRANQUE AIRE ACONDICIONADO,12 volts,4 Campos,TERMOKING,default-card
51972,EQUIPO DE FRIO,12 volts,4 Campos,TERMOKING,default-card
51980,JHOMAR - FRIO TERMOKING 2 CILINDROS,12 Volts,4 Campos,TERMOKING,campo-309
51981,BARREDORA VIAL,36 Volts,4 Campos,TERMOKING,default-card
51985,LEVANTA RAMPAS(COLECTIVO) 2 campos planchuela y 2 auxiliar.,24 Volts,4 Campos,TREPEL ALEMAN,default-card
51990,DODGE /4 CAMPOS DE PLANCHUELA),12 Volts,4 Campos,TRIA-CHRYSLER,campo-310
52000,DODGE 1500 - PEUGEOT 404-504 LARGO,12 Volts,4 Campos,TRIA FEMSACO,campo-311
52010,DODGE 1500 (LARGO) Con salida pasacables y escobilla,12 volts,4 Campos,TRIA,campo-312
52020,FORD ESCORT COLECTOR FRONTAL. Con escobillas,12 volts,4 Campos,TRIA,campo-313
52030,VOLKSWAGEN GACEL - RENAULT 9-11-12-21-TRAFICC. Con salida pasacables y escobilla,12 Volts,4 Campos,TRIA,campo-314
52040,VOLKSWAGEN GACEL - RENAULT 9-11-12-21-TRAFICC. REFORZADO PARA EQUIPO GNC,12 volts,4 Campos,TRIA,default-card
52050,TRIA (COD. 3024-MAC) Para DODGE 1500 - RANAULT 4-6-12 -FIAT 128 - PEUGEOT 404-504 - VW KOMBI,12 volts,4 Campos,TRIA,campo-316
52080,VOLKSWAGEN CARAT CON ESCOBILLAS,12 volts,4 Campos,TRIA,campo-317
52090,3STAR CAMIONES (2 PRINCIPALES Y 1 AUXILIAR),24 Volts,4 Campos,3STAR,campo-318
52091,3STAR CAMIONES (2 PRINCIPALES Y 1 AUXILIAR),12 volts,4 Campos,3STAR,default-card
52100,RENAULT 19 DIESEL - CLIO - PEUGEOT 405 - CITROEN CON REDUCCIÓN,12 volts,4 Campos,VALEO,campo-319
52100,RENAULT 19 DIESEL - CLIO - PEUGEOT 405 - CITROEN CON REDUCCIÓN (CON PLAQUETA),12 Volts,4 Campos,VALEO,default-card
52105,PEUGEOT 206,12 volts,4 Campos,VALEO,default-card
52110,PEUGEOT 405 FRONTAL,12 volts,4 Campos,VALEO,campo-320
52130,RENAULT TRAFICC DIESEL VALEO DR9 REDUCCIÓN CON ESCOBILLAS,12 volts,4 Campos,VALEO,campo-321
52130,RENAULT TRAFICC DIESEL VALEO DR9 REDUCCIÓN CON ESCOBILLAS (CON PLAQUETA),12 volts,4 Campos,VALEO,default-card
52150,PERKINS C10 - CASE - CBT - CLARK - DODGE - FORD - CHEVROLET con motor MWM 4 y 6 cilindros.,12 volts,4 Campos,WAPSA,campo-322
52160,PERKINS C10 - CLARK - DODGE - FORD - CHEVROLET - VALMET con motor MWM con escobillas,12 volts,4 Campos,WAPSA,campo-323
52180,VOLKSAWAGEN SANTANA MW B-25,12 volts,4 Campos,WAPSA,campo-324
52200,VOLKSWAGEN SAVEIRO DIESEL,12 volts,4 Campos,WAPSA,campo-325
52210,BLACK CAMION CHICO,12/24 Volts,4 Campos,WIDIAN,campo-326
52220,BLACK CAMION CHICO,12 volts,4 Campos,WIDIAN,campo-327
52230,BLACK CAMION CHICO,24 Volts,4 Campos,WIDIAN,campo-328
52235,CAMION CHINO,12 volts,4 Campos,WIDIAN,default-card
52240,NIKO AUTOELEVADOR CLARCK,24 Volts,4 Campos,WIDIAN,default-card
52250,JUEYIN CAMION CHINO,24 Volts,4 Campos,WIDIAN,campo-331
52255,JUAEYIN MAQUINA CHINA,24 Volts,4 Campos,WIDIAN,default-card
52256,JUAEYIN MAQUINA CHINA,24 Volts,4 Campos,WIDIAN,default-card
52260,JUEYIN con motor NIKO,12/24 Volts,4 Campos,WIDIAN,campo-332
52270,JUEYIN CAMION CHINO,24 Volts,4 Campos,WIDIAN,default-card
52275,CAMION CHINO (2 PRINCIPALES Y 2 AUXILIARES),24 Volts,4 Campos,NIPPONDENSO,default-card
52280,HILLMAN,12 volts,4 Campos,WIDIAN,default-card
52290,KOMATSU MONTACARGAS,24 Volts,4 Campos,NIPPONDENSO,default-card
52300,RENAULT 13 V,12 volts,4 Campos,,campo-336
52310,LEVATA RAMPA OMNIBUS 2 AUXILIARES 2 PRINCIPALES,24 volts,4 Campos,,campo-337
55513,B.N.G. REFORZADO ESPECIAL ARGON,12 volts,2 Campos,BOSCH,default-card
55517,B.N.G. REFORZADO (ARGON),24 Volts,2 Campos,BOSCH,default-card
55531,V.P.S. VOLVO - PEGASO - SKODA,24 Volts,2 Campos,BOSCH,default-card
55541,C.A.V. LEYLAND,24 Volts,2 Campos,C.A.V.,default-card
55545,C.A.V. F239,24 Volts,2 Campos,C.A.V.,default-card
55563,FIAT 619 N,24 Volts,2 Campos,FIAT,default-card
55564,FIAT 642 N 2,24 Volts,2 Campos,FIAT,default-card
55567,FIAT 643,24 Volts,2 Campos,FIAT,default-card
55571,FIAT 682,24 Volts,2 Campos,FIAT,default-card
55572,FIAT 780R TRACTOR,24 Volts,2 Campos,FIAT,default-card
55573,FIAT SOMECA TRACTOR,12 volts,2 Campos,BOSCH,default-card
55575,FIAT 411 TRACTOR,24 Volts,2 Campos,FIAT,default-card
55576,FIAT 1500,12 volts,2 Campos,FIAT O GAREF,default-card
55580,FORD F-100 ; F-350 ; F-600 ; F-900,12 volts,1 Campo,INDIEL,default-card
55584,HONOMAG,12 volts,2 Campos,BOSCH,default-card
55645,SCANIA VABIS M. 66 (REFORZADO),24 Volts,2 Campos,C.A.V.,default-card
55678,FIAT 125 IMPORTADO,12 volts,2 Campos,FIAT,default-card
552010,AUTO UNIÓN L.J/G.E.H.,6 Volts,2 Campos,BOSCH,default-card
552020,BEDFORD DIESEL IKA,12 Volts,2 Campos,INDIEL,default-card
552030,BEDFORD DIESEL,12 Volts,2 Campos,LUCAS,default-card
552030,BEDFORD,12 Volts,2 Campos,LUCAS,default-card
552035,BERGATIN IKA,12 Volts,2 Campos,INDIEL,default-card
552040,BORGWARD L.J/G.E.H.,6 Volts,2 Campos,BOSCH,default-card
552054,CITRÖEN,6 Volts,4 Campos,TAMATEL,default-card
552055,CITRÖEN,12 Volts,4 Campos,TAMATEL,default-card
552080,CHEVROLET 40 - 80 REFORMA A 12V,12 Volts,2 Campos,DELCO REMY,default-card
552090,CHEVROLET 400,12 Volts,2 Campos,INDIEL,default-card
552100,DEUTZ 30 - 45 L.J/S.J.J.,12 Volts,4 Campos,BOSCH,default-card
552110,DEUTZ 60 - 75 L.J./S.K.,12 Volts,4 Campos,BOSCH,default-card
552119,FIAT 600 B 90,12 Volts,2 Campos,FIAT,default-card
552139,FIAT TRACTOR 411 D 115,24 Volts,2 Campos,FIAT,default-card
552142,FIAT TRACTOR 780,24 Volts,2 Campos,INDIEL,default-card
552150,FIAT 682 D 115,24 Volts,2 Campos,FIAT,default-card
552155,FIAT 780 D 90,12 Volts,2 Campos,FIAT,default-card
552158,FIAT 780 D 115,24 Volts,2 Campos,FIAT,default-card
552165,FIAT 1100,12 Volts,2 Campos,FIAT,default-card
552175,FIAT 1500 D 115,12 Volts,2 Campos,FIAT,default-card
552220,FORD CAMION,12 Volts,2 Campos,INDIEL,default-card
552225,FORD FALCON,12 Volts,2 Campos,INDIEL,default-card
552235,FORD TAUNUS L.J./G.E.H.,6 Volts,2 Campos,BOSCH,default-card
552253,HANOMAG R 40 - 45 - 55 L.J./G.J.J.,12 Volts,4 Campos,BOSCH,default-card
552256,HANOMAG R 60 - 70 L.J/G.K.,12 Volts,4 Campos,BOSCH,default-card
552300,IKA,6 Volts,2 Campos,INDIEL,default-card
552305,IKA,12 Volts,2 Campos,INDIEL,default-card
552330,JOHN DEERE,12 Volts,2 Campos,DELCO REMY,default-card
552332,JONH DEERE,24 Volts,2 Campos,DELCO REMY,default-card
552334,JOHN DEERE 445,12 Volts,2 Campos,INDIEL,default-card
552335,JOHN DEERE,24 Volts,2 Campos,INDIEL,default-card
552354,LEYLAND F 221 OMNIBUS,24 Volts,4 Campos,C.A.V.,default-card
552360,L.J/G.K.,12 Volts,4 Campos,BOSCH,default-card
552365,L.J/G.K.,24 Volts,4 Campos,BOSCH,default-card
552370,L.J/G.K. CON RESISTENCIA,24 Volts,4 Campos,BOSCH,default-card
552372,L.J/G.Q.L.,12 Volts,4 Campos,BOSCH,default-card
552373,L.J/G.Q.L.,24 Volts,4 Campos,BOSCH,default-card
552374,L.J/G.Q.L. CON RESISTENCIA,24 Volts,4 Campos,BOSCH,default-card
552405,MERCEDES BENZ 317 L.J/G.T.L.,12 Volts,4 Campos,BOSCH,default-card
552420,MERCEDES BENZ 3500 L.J/G.K.,12 Volts,4 Campos,BOSCH,default-card
552430,MERCEDES BENZ 6600 L.J/G.K.,24 Volts,4 Campos,BOSCH,default-card
552440,MERCEDES BENZ 321L.J/G.Q.L.,12 Volts,4 Campos,BOSCH,default-card
552450,MERCEDES BENZ 321L.J/G.Q.L.,24 Volts,4 Campos,BOSCH,default-card
552515,OPEL L.J/G.E.H.,6 Volts,2 Campos,BOSCH,default-card
552530,PEUGEOT 403 - 404,12 Volts,2 Campos,INDIEL,default-card
552550,RAMBLER,12 Volts,2 Campos,INDIEL,default-card
552562,RASTROJERO L.J/G.E.G.,12 Volts,2 Campos,BOSCH,default-card
552605,SCANIA VABIS CHICO L.J/G.K.,24 Volts,4 Campos,BOSCH,default-card
552610,SCANIA VABIS CHICO L.J/G.K. CON RESISTENCIA,24 Volts,4 Campos,BOSCH,default-card
552615,SCANIA VABIS GRANDE L.J/G.Q.L.,24 Volts,4 Campos,BOSCH,default-card
552660,VOLKSWAGWEN L.J/G.E.H.,6 Volts,2 Campos,BOSCH,default-card
552740,ZETOR L.J/G.K.,12 Volts,4 Campos,BOSCH,default-card
556001,IBER - FRIO,12 Volts,2 Campos,FEMSA,default-card
55217,DINAMO VOLKSWAGEN BRASIL,12 volts,2 Campos,,default-card
52221,JUEYIN CAMION CHINO,24 volts,4 campos,WIDIAN,default-card
50630,BEDFORD C.A 45C Y 45D PICK UP -CAMION DIESEL 350 C.A.45D- FIAT 650-10 TRACTOR C.A 45 REFORZADO GIRO IZQUIERDO,12 volts,4campos,INDIEL,default-card
5191,MERCEDES BENZ 220 DIESEL UNIMOG CORTO - OPEL ASCONAJE.puente de 1 agujero,24 volts,4 campos,BOSCH,default-card
51162,FIORINO DENSO,12 volts,4 campos,MARELLI,default-card
51705,TOYOYA 2200 DIESEL 28100-54061 R,24 volts,4 campos,NIPPONDENSO,default-card
51526,ARRANQUE KIA,12 volts,4 campos,JIUNDAY,default-card
51706,ARRANQUE TOYOTA AUTO ELEVADOR,24 volts,4 campos,Nipondenso,default-card
51521,MITSUBISHI COCHE Y CAMION CON CHICOTE,12 volts,4 campos,NIPPONDENSO,default-card
51501,MOTOR DE ARRANQUE MITSUBISHI PARA MERCEDES BENZ CARROCERIA O500,24 volts,4 campos,NIPPONDENSO,default-card
50246,MAQUINA CATERPILLER,24 volts,4 campos,DELCO REMY,default-card
51042,FIAT AGRI 7076,12 volts,4 campos,ISKRA,default-card
51502,MITSUBISHI CANTER modelo viejo,24 volts,4 campos,NIPPONDENSO,default-card
51982,JHOMAR-FRIO TERMOKING 2 CILINDROS,24 volts,4 campos,TERMOKING,default-card
51781,CITROEN SUPER DSE 107 GIRO IZQUIERDO,12 volts,4 campos,PARIS RHONE,default-card
5380,PEUGEOT 205-405,12 volts,4 campos,BOSCH,default-card
51581,MITSUBISHI CON CHICOTE,24 volts,4 campos,NIPPONDENSO,default-card
51701,TOYOTA AUTO ELEVADOR,12 volts,,NICOLAS AMATO,default-card
50731,RENAULT CAMION GRANDE,24 volts,4 campos,INDIEL,default-card
5381,DELCO REMY MT 28 LARGO,12 volts,4 campos,DELCO REMY,default-card
51701,TOYOTA 2200 DIESEL (28100-54061 R) giro izquierdo,12volts,4 campos,NIPPONDENSO,default-card
51631,NISSAN,12volts,4 campos,NIPPONDENSO,default-card
51601,NISSAN,24volts,4 campos,NIPPONDENSO,default-card
51602,NISSAN CENTRA SUPER SALON FULL 92.1.6 16 VALVULAS,12volts,4 campos,NIPPONDENSO,default-card
51163,FIAT MAREA,12volts,4 campos,NIPPONDENSO,default-card
50181,DELCO REMY 37 MT Código 10468110 - VOLKSWAGEN - FORD - CUMMINS - NAVISTAR,24volts,4 campos,DELCO REMY,default-card
51591,AUTOELEVADOR MITSUBISHI,12volts,4 campos,NIPPONDENSO,default-card
51043,TRACTOR NEW HOLLAND MEDIANO,12 Volts,4 Campos,ISKRA CHECOSLOVACO,default-card
52251,MAQUINA MISHI,12 Volts,4 Campos,WIDIAN,default-card
5641,DELCO REMY CLARCK SALIDA LARGA,12 Volts,4 campos,DELCO REMY,default-card
,AN LARGO TOGNON,12 Volts,4 Campos,,default-card
,AN LARGO TOGNON,24 Volts,4 Campos,,default-card
,CUMMINS MEXICANO MT39  ESPECIAL,24 Volts,4 Campos,,default-card
5844,MT 39 ESPECIAL GRANDE,24 Volts,4 Campos,,default-card
,FERROCARRIL SINCAR,,4 Campos,,default-card
,MT 38 CORTO,24 VOLTS,4 Campos,,default-card
,MT 38 LARGO,24 VOLTS,4 Campos,,default-card
,MT 38 CORTO (con carbones),24 VOLTS,4 Campos,,default-card
5845,MT 39 ESPECIAL CHICO,24 VOLTS,4 Campos,,default-card
50881,PERKINS - MERCEDES BENZ - JOHN DEERE Eq. AN 115 LARGO (REFORZADO) CON ARANDELAS Y AISLACION,12 VOLTS,4 campos,INDIEL,default-card
51203,"MITSUBISHI COLECTIVO VOLKSWAGEN Y MERCEDEZ,VOLVO",24 VOLTS,4 Campos,Nipondenso,default-card
51641,NISSAN ESPECIAL UNA VUELTA MENOS,24 VOLTS,4 CAMPOS,,default-card
6,MAGNETI MARELLI    LARGO,12 VOLTS,4 Campos,MARELLI,default-card
5495,SCANIA P 124,24volts,4 campos,bosch,default-card
51731,TOYOTA,12 volts,4 campos,nippondenso,default-card
51721,TOYOTA CON REDUCCION (SALIDA AL COSTADO),12volts,4 campos,NIPPONDENSO,default-card
5501,SCANIA MODELO NUEVO,12/24 volts,4 campos,BOSCH,default-card
51126,LUCAS TRACTOR,12 volts,4 campos,LUCAS,default-card
5502,SCANIA MODELO NUEVO MEDIANO,12/24 VOLTS,4 CAMPOS,BOSCH,default-card
5503,SCANIA MODELO NUEVO CHICO,12/24 VOLTS,4 Campos,BOSCH,default-card
51722,TOYOTA CON REDUCCION CON SALIDA AL COSTA Y ESCOBILLAS,12/24 VOLTS,4 CAMPOS,NIPPONDENSO,default-card
5842,EQUIPO UNIFON MT28,24 VOLTS,4 CAMPOS,UNIFON,default-card
51501,MOTOR DE ARRANQUE MITSUBISHI PARA MERCEDES BENZ CARROCERIA O500,24 volts,4 campos,NIPPONDENSO,default-card
,ARRANQUE DE CAMION HIUNDAI,24 VOLTS,4 CAMPOS,,default-card
52500,FORD 2012 BC 45 1100 IBA F002 G2 2904,24 VOLTS,4 CAMPOS,,default-card
